Ernährungsform;Rezept;Quelle;Bemerkung;Dauer (<1, 1-2, >2);Hauptzutaten;Ausgewogen(Einteilung A, B, C);Art (Auflauf, Onepot, Mixed);Jahreszeit, wg saisonal;Küche
vegetarisch;Käsespätzle mit Blattspinat;Sparrezepte S. 130;Sonnenblumenkerne nötig;;Spinat, Spätzle;B;Auflauf;ganzjährig;Deutsch
vegetarisch;Pizza;OneNote;N/A;;Tomaten, Pilze, Mais, Brokkoli, Oliven, Peperoni, Paprika;B;Pizza;ganzjährig;Italienisch
vegetarisch;Nudelsalat mit Rucola;OneNote;N/A;;Nudeln, getrocknete Tomaten, Rucola, Pinienkerne;B;Salat;ganzjährig;Italienisch
vegetarisch;Reis mit Zucchini und Paprika;Sparrezepte S.183;N/A;;Reis, Zucchini, Paprika;B;Reisgericht;ganzjährig;N/A
vegetarisch;Pfannkuchen;Schulkochbuch S. 318;N/A;;Mehl, Eier;C;Pfannengericht;ganzjährig;Deutsch
vegetarisch;Kaiserschmarrn;Schulkochbuch S. 320;im Wok machen, Rosinen erst nachher in Teig;;Mehl, Eier, Rosinen;C;Pfannengericht;ganzjährig;Deutsch
vegetarisch;Käse-Porree-Suppe;Internet;mit kleinen Nudeln ca 250 g, Tofugehacktem und 1 Stange Porree;;Nudeln, Tofu, Lauch;B;Suppe;ganzjährig;Deutsch
vegan;Kürbissuppe;OneNote;mit Birne reinklatschen, kokosmilch und curry;;Kürbis, Kartoffeln, Möhren, Birne;B;Suppe;Herbst, Winter;Deutsch
vegetarisch;Nudelauflauf à la Mama;OneNote;Salami weglassen, Brokkoli hinzufügen;;Nudeln, Paprika, Mais, Brokkoli;B;Auflauf;ganzjährig;Deutsch
vegetarisch;Chili-sin-Carne-Auflauf;OneNote;Tofu;;Tofu, Reis, Tomaten, Mais, Kidneybohnen, Nachos;A;Auflauf;ganzjährig;Mexikanisch
vegan;Linsencurry mit Mango und Kokos;OneNote;N/A;;Linsen, Möhren, Mango;A;Curry;ganzjährig;Indisch
vegan;Couscous-Gemüse-Pfanne mit Harissa;OneNote;N/A;;Couscous, Brokkoli, Paprika, Möhren, Erbsen, Frühlingszwiebeln;B;Reisgericht;ganzjährig;Orientalisch
vegetarisch;Kichererbsen-Auberginen-Pfanne;OneNote;N/A;;Aubergine, Paprika, Tomaten, Kichererbsen, Ajvar, Ziegenfrischkäse;A;Curry;ganzjährig;Indisch
vegan;Spinat-Kichererbsen-Gericht;OneNote;N/A;;Spinat, Tomaten, Kichererbsen, Reis;A;Curry;ganzjährig;Indisch
vegetarisch;Nudeln mit Spinat und Tomaten;OneNote;N/A;;Nudeln, Spinat, Schafskäse, Tomaten;A;Nudelgericht;ganzjährig;Italienisch
vegan;Gemüse-Linsen-Curry;Schulkochbuch S.282;N/A;;Frühlingszwiebeln, Möhren, Erbsen, Linsen;A;Curry;ganzjährig;Indisch
vegetarisch;Kürbis-Kartoffeln-Gratin;OneNote;Kartoffeln + Kürbis vorkochen oder genau so viel Flüssigkeit reintun wie laut Rezept;;Kartoffeln, Kürbis;C;Auflauf;Herbst, Winter;Deutsch
vegetarisch;Gefüllte Süßkartoffeln;YouTube;N/A;;Süßkartoffeln, Spinat, Paprika, Schafskäse, Frühlingszwiebeln;B;Anderes;ganzjährig;N/A
vegan;Pikantes Kürbiscurry;OneNote;mit Reis;;Kürbis, Reis;B;Curry;Herbst, Winter;Indisch
vegan;Süßkartoffel-Gnocchi-Bowl;OneNote;N/A;;Süßkartoffeln, Tomaten, Gnocchi, Spinat, Pinienkerne;C;Bowl;ganzjährig;N/A
vegan;Ofenkürbis mit Kartoffelpü und Feldsalat;Random;N/A;;Kürbis, Feldsalat, Kartoffeln;C;Mixed;Herbst, Winter;Deutsch
vegan;Indisches Linsencurry à la Heni;OneNote;mit indischer Gewürzmischung machen, aufpassen, dass Curry nicht anbrennt, gut mit Salz und Pfeffer würzen;;Frühlingszwiebeln, Linsen, Paprika, Tomaten;A;Curry;ganzjährig;Indisch
vegan;Linsen-Paprika-Curry mit Naan;Veg. S 154;N/A;;Linsen, Paprika;B;Curry;ganzjährig;Indisch
vegetarisch;Brokkoli-Nudelauflauf;Auflauf S. 80;N/A;;Nudeln, Brokkoli, Mandeln;C;Auflauf;ganzjährig;Deutsch
